Unnamed: 0,Company,Date,Tahun_Buku,Link,folder_path,category
56,ASRI,16 April 2021 | 08:04,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASRI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASRI\2020,Property
57,ASRM,12 April 2021 | 14:27,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASRM/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASRM\2020,Insurance
58,ASSA,16 April 2021 | 16:20,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ASSA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ASSA\2020,Infrastructure Industry
59,ATAP,02 April 2021 | 13:54,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ATAP/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ATAP\2020,Property
60,ATIC,31 Mei 2021 | 17:17,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/ATIC/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\ATIC\2020,General
61,AUTO,24 Februari 2021 | 16:06,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AUTO/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AUTO\2020,General
62,AYLS,20 Agustus 2021 | 15:08,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/AYLS/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\AYLS\2020,General
63,BABP,01 September 2021 | 18:47,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/BABP/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\BABP\2020,Financial and Shariah
64,BACA,04 Mei 2021 | 17:36,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/BACA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\BACA\2020,Financial and Shariah
65,BAJA,09 April 2021 | 08:47,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/BAJA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\BAJA\2020,General
66,BALI,05 Maret 2021 | 17:29,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/BALI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\BALI\2020,Infrastructure Industry
67,BANK,03 Mei 2021 | 11:35,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/BANK/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\BANK\2020,Financial and Shariah
68,BAPA,31 Mei 2021 | 19:14,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/BAPA/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\BAPA\2020,Property
69,BAPI,01 Juni 2021 | 15:16,2020,https://www.idx.co.id/Portals/0/StaticData/ListedCompanies/Corporate_Actions/New_Info_JSX/Jenis_Informasi/01_Laporan_Keuangan/02_Soft_Copy_Laporan_Keuangan//Laporan%20Keuangan%20Tahun%202020/Audit/BAPI/instance.zip,C:\Users\arsen\OneDrive\Temp\Scraping IDX\Data\BAPI\2020,Property
